,institution.displayName,ranking.sortRank,ranking.isTied,Visit School Website,Serif,Sans-Serif,Not Avaliable
93,Baylor University,93,True,http://www.baylor.edu,65380,5565,12
94,Gonzaga University,93,True,https://www.gonzaga.edu,439,39467,40
95,Loyola Marymount University,93,True,http://www.lmu.edu,5274,52582,0
96,University of Iowa,93,True,http://www.uiowa.edu,549,40284,0
97,Drexel University,98,True,http://www.drexel.edu,7837,59386,0
98,Illinois Institute of Technology,98,True,//www.iit.edu,3516,35860,57
99,Rochester Institute of Technology,98,True,http://www.rit.edu,,,
100,Rutgers University--Camden,98,True,https://www.camden.rutgers.edu/,6608,127381,33
101,Texas Christian University,98,True,http://www.tcu.edu,99,19490,0
102,University of Oregon,98,True,https://www.uoregon.edu,497,37052,0
103,University of San Diego,98,True,http://www.SanDiego.edu,15363,3010,0
104,American University,105,True,http://www.american.edu,14,39278,290
105,Arizona State University,105,True,//www.asu.edu,4264,69087,0
106,California State University--Long Beach,105,True,http://www.csulb.edu,254,41136,0
107,CUNY--City College,105,True,https://www.ccny.cuny.edu/,0,64569,132
108,George Mason University,105,True,https://www2.gmu.edu,0,55301,0
109,Saint Louis University,105,True,http://www.slu.edu,14370,1919,293
110,San Diego State University,105,True,http://www.sdsu.edu,0,4206,0
111,University of Colorado Boulder,105,True,http://www.colorado.edu,5047,110726,0
112,"University of Tennessee, Knoxville",105,True,http://utk.edu,0,25484,0
113,Yeshiva University,105,True,http://www.yu.edu,320,74010,119
114,Brigham Young University,115,True,http://www.byu.edu,0,23639,0
115,Howard University,115,True,http://www.howard.edu,0,903,9185
116,Iowa State University of Science and Technology,115,True,http://www.iastate.edu,3463,49294,0
117,SUNY College of Environmental Science and Forestry,115,True,http://www.esf.edu,1606,11871,0
118,University of Arizona,115,True,https://www.arizona.edu,6,115034,0
119,University of New Hampshire,115,True,https://www.unh.edu,0,21656,0
120,University of San Francisco,115,True,http://www.usfca.edu,242359,2238,0
121,The University of Texas at Dallas,115,True,https://www.utdallas.edu/,0,37920,0
122,University of Utah,115,True,https://www.utah.edu/,1537,12360,35
123,Creighton University,124,True,http://www.creighton.edu,975,0,6803
124,Fairfield University,124,True,http://www.fairfield.edu,6072,44733,0
125,Florida International University,124,True,http://www.fiu.edu,5096,16693,0
126,James Madison University,124,True,http://www.jmu.edu,2091,26149,3105
127,University of Central Florida,124,True,http://www.ucf.edu,0,54729,0
128,University of Denver,124,True,http://www.du.edu,5583,56050,0
129,University of Missouri,124,True,http://www.missouri.edu,0,41406,756
130,University of Oklahoma,124,True,http://www.ou.edu,80,20436,59
131,University of South Carolina,124,True,http://www.sc.edu,0,19205,9
132,California State University--Fullerton,133,True,http://www.fullerton.edu,,,
133,Chapman University,133,True,https://www.chapman.edu,0,13876,370
134,Elon University,133,True,http://www.elon.edu,11,38951,0
135,Miami University--Oxford,133,True,http://www.MiamiOH.edu,19660,2229,45
136,University at Albany--SUNY,133,True,https://www.albany.edu,0,22103,0
137,University of Dayton,133,True,http://www.udayton.edu,24970,3311,8
138,University of Houston,133,True,http://www.uh.edu,0,34064,0
139,"University of Maryland, Baltimore County",133,True,http://www.umbc.edu,3173,36709,0
140,University of Vermont,133,True,http://www.uvm.edu,27,4838,41
141,Clarkson University,142,True,https://www.clarkson.edu/,1609,19050,0
142,Clark University,142,True,http://www.clarku.edu,5108,64333,0
143,Loyola University Chicago,142,True,http://www.luc.edu,2823,17827,182
144,Oregon State University,142,True,http://oregonstate.edu,2415,47336,0
145,Thomas Jefferson University,142,True,http://www.jefferson.edu/,0,93832,300
146,University of Alabama at Birmingham,142,True,https://www.uab.edu,1411,28598,0
147,University of Cincinnati,142,True,http://www.uc.edu,16115,21470,0
148,University of the Pacific,142,True,http://www.pacific.edu,0,8425,54089
149,Virginia Commonwealth University,142,True,https://www.vcu.edu,0,13966,96
