institution.displayName,ranking.sortRank,ranking.isTied,Visit School Website
California State University--Fullerton,133,True,http://www.fullerton.edu
Chapman University,133,True,https://www.chapman.edu
Elon University,133,True,http://www.elon.edu
Miami University--Oxford,133,True,http://www.MiamiOH.edu
University at Albany--SUNY,133,True,https://www.albany.edu
University of Dayton,133,True,http://www.udayton.edu
University of Houston,133,True,http://www.uh.edu
"University of Maryland, Baltimore County",133,True,http://www.umbc.edu
University of Vermont,133,True,http://www.uvm.edu
Clarkson University,142,True,https://www.clarkson.edu/
Clark University,142,True,http://www.clarku.edu
Loyola University Chicago,142,True,http://www.luc.edu
Oregon State University,142,True,http://oregonstate.edu
Thomas Jefferson University,142,True,http://www.jefferson.edu/
University of Alabama at Birmingham,142,True,https://www.uab.edu
University of Cincinnati,142,True,http://www.uc.edu
University of the Pacific,142,True,http://www.pacific.edu
Virginia Commonwealth University,142,True,https://www.vcu.edu
